Wed Apr 20 22:42:42 2016    restats

         7305283 function calls (7196137 primitive calls) in 280.444 seconds

   Ordered by: cumulative time
   List reduced from 6426 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.072    0.003    0.291    0.011 __init__.py:1(<module>)
     1740    0.018    0.000    0.290    0.000 patches.py:655(_update_patch_transform)
   145110    0.124    0.000    0.290    0.000 numeric.py:406(asarray)
   197995    0.277    0.000    0.279    0.000 {numpy.core.multiarray.array}
     8133    0.055    0.000    0.274    0.000 font_manager.py:656(__init__)
    59561    0.229    0.000    0.266    0.000 cbook.py:696(is_string_like)
     5155    0.086    0.000    0.264    0.000 lines.py:606(recache)
       82    0.001    0.000    0.263    0.003 path.py:960(get_path_collection_extents)
       82    0.214    0.003    0.259    0.003 {matplotlib._path.get_path_collection_extents}
        3    0.002    0.001    0.253    0.084 __init__.py:5(<module>)
     1403    0.011    0.000    0.245    0.000 axis.py:361(_get_text1)
        1    0.002    0.002    0.243    0.243 tools.py:1(<module>)
        1    0.000    0.000    0.242    0.242 decorators.py:156(wrapper)


